Sample_Name,Group,AKT1,ALDH1A1,ALDH3A1,ATF4,ATF6,ATM,BACH1,BAX,BBC3,BCL2L1,CDH1,CDH2,CHEK2,CMBL,DDB1,DDIT3,EIF2AK3,ERCC1,FDXR,FOS,FOSL1,GADD45A,GAMT,GCLC,GCLM,GSTP1,HEY1,HIF1A,HMGB1,JUN,KDM5B,A,B,C,D,E,KDM5C,MCL1,KRAS,KMT2D,KMT2A,KEAP1,NFE2L2,NANOG,PMAIP1,PHLDA3,PHB,PCNA,PARP1,SERPINE2,RIPK2,RB1,SOD2,SFN,SESN2,TDGF1,STAT1,TWIST2,TP53I3,ZEB1,WNT5A,PTAFR,SNAI1,STAT3,SRC,TWIST1,TP53,TIGAR
A_C94,Group1,14.12157311,10.74228103,11.7206534,12.12935497,15.45815297,15.24121426,16.29399205,12.58474151,16.25028892,14.63985279,18.00242913,14.30486846,16.69804149,15.89768746,13.76187512,14.80204608,16.5256986,14.22496913,14.03060109,10.72563461,15.01419719,17.05166648,16.67445365,15.56859368,14.7310148,12.77490298,18.5832004,11.64112794,11.57702341,18.02927506,16.45264264,9.94830473,11.934657,16.23914074,14.06421542,13.76158461,14.99508024,12.72805542,15.36368212,15.68466867,15.44536181,15.56863012,13.41178855,15.21137316,22.25724928,13.50712754,13.60381308,13.73438897,13.93930787,15.14535577,15.69544449,18.46881548,14.38853618,16.29998061,14.99864661,15.83947376,15.86821258,18.09933194,15.11912218,14.94062706,15.13965908,17.98890164,13.11076792,13.38240677,14.44050925,18.74881286,12.30746465,13.97689981
A_C94,Group1,15.12157311,11.74228103,12.7206534,13.12935497,16.45815297,16.24121426,17.29399205,13.58474151,17.25028892,15.63985279,19.00242913,15.30486846,17.69804149,16.89768746,14.76187512,15.80204608,17.5256986,15.22496913,15.03060109,11.72563461,16.01419719,18.05166648,17.67445365,16.56859368,15.7310148,13.77490298,19.5832004,12.64112794,12.57702341,19.02927506,17.45264264,10.94830473,12.934657,17.23914074,15.06421542,14.76158461,15.99508024,13.72805542,16.36368212,16.68466867,16.44536181,16.56863012,14.41178855,16.21137316,23.25724928,14.50712754,14.60381308,14.73438897,14.93930787,16.14535577,16.69544449,19.46881548,15.38853618,17.29998061,15.99864661,16.83947376,16.86821258,19.09933194,16.11912218,15.94062706,16.13965908,18.98890164,14.11076792,14.38240677,15.44050925,19.74881286,13.30746465,14.97689981
A_C51,Group1,15.59016565,10.88402068,12.36266949,12.72856331,16.39300794,16.20180968,17.04468219,13.16222445,17.339355,14.41104177,17.0478473,15.9763016,16.85101478,16.26572778,14.81317479,17.42647108,17.17656441,15.34085793,15.34247876,11.57217912,16.26422823,18.72290241,16.79110692,17.36692609,14.13955421,13.06497024,20.52075511,12.18257152,13.13749667,18.04638675,17.02634418,9.825290702,12.67302913,17.70031057,13.95814247,16.42736286,15.43016136,12.38931729,15.94499711,15.99592848,15.6413673,16.42871958,14.63090606,16.34856639,20.35001446,13.92314877,14.34969623,14.9638344,15.11149987,17.30639404,15.52332062,18.22833931,16.02661114,15.86751269,19.23543325,17.85667076,14.96419753,18.89451476,15.57629685,14.9130286,15.37005576,17.88966786,,15.05013548,14.93451942,16.83324554,14.89354668,16.9048196
A_C95,Group1,15.12527145,11.64557078,13.54262106,12.75918686,16.30618103,16.53499252,17.17468049,15.15465159,17.67322598,13.67698437,16.0393317,14.96458932,17.97102644,17.9015814,14.58514179,18.5675922,16.77545533,14.74751236,18.06521209,12.61533973,14.32839328,18.66743869,18.42776307,17.1225741,14.09540592,13.26108329,18.86589265,11.7217837,12.88017551,14.91997826,15.72858257,10.94251174,14.05461624,17.67587027,14.66281835,14.89529038,14.82125569,13.08175779,15.54591454,16.73899787,16.14975053,17.00052368,14.69586733,17.11263157,20.45783722,15.55847611,13.88410088,16.02447213,15.73943499,16.97034436,15.90194008,18.82690718,16.29729878,16.73807487,16.24872835,18.93808264,15.64155428,18.2349354,15.71369455,16.35387178,16.99768186,18.80463903,16.87329568,16.03643847,15.38183518,20.16833771,13.47951046,16.30709574
A_C50,Group1,14.51767368,10.23107918,12.16875927,12.35264444,17.05952644,16.02689935,17.68423619,13.1744246,18.69454266,14.05146941,17.37883013,15.57533543,18.39795928,15.85110893,15.03559215,15.38699953,19.48034374,15.57886688,13.97460193,10.9979329,15.06141904,18.57407988,17.40761256,16.09416806,13.3632225,12.86717901,19.94024248,11.30073863,12.41524994,16.45815196,17.26163518,10.66698128,13.70727819,17.38457764,14.00120987,14.95400993,15.28175955,13.61998174,15.2924843,16.75791078,16.34746672,16.28079909,13.71032401,16.09305945,20.67772421,14.87266796,13.78898242,15.07224484,14.69890924,17.8754549,15.06698642,19.45143087,16.57450909,16.09761836,16.06003563,17.52373782,16.41629197,16.6935038,15.54878393,16.12565979,16.01303165,18.37667307,18.95121843,15.51180952,15.15894932,18.73149213,13.42663276,16.90524804
A_C96,Group1,13.50651544,10.10286624,13.42682153,12.18450432,14.85908041,15.06303592,16.4912694,11.98093435,15.5263324,13.03354016,20.49917266,14.95148888,16.98637557,15.6096,14.14659595,14.33099661,17.59608137,13.65146252,11.89195569,13.09930558,13.40652234,15.12562683,16.52555208,15.52502132,13.23272026,11.39987096,17.82644945,10.97826565,10.66265832,15.77744283,16.74912477,10.10611024,13.13097915,17.37858772,14.17940963,14.48088979,14.06109847,11.91980301,14.02551451,15.91339897,14.69303935,15.96777441,14.4446924,16.20037345,18.57404866,12.58058694,12.49661581,12.85570844,14.14920178,14.60666122,15.40169119,16.94583,15.91769537,16.24885223,14.88347449,17.2085641,15.77167458,18.81952174,13.31442026,14.998723,16.00025937,17.61497839,18.71757003,14.82153329,14.74607813,16.9067708,11.05007257,13.57875615
A_C49,Group1,14.03363316,13.13054229,15.14952848,13.17816012,15.98192796,16.59686869,16.91810108,12.80613524,17.10007869,14.12666581,,14.30193177,15.70199387,16.17951504,15.06194196,15.5466087,17.37228741,14.31238873,15.64433032,12.45868998,15.13683197,17.37232494,17.71515161,16.65226347,14.22621976,12.58707248,18.38187342,11.13501104,11.65635727,17.38280424,18.09003505,10.02131677,13.65702284,17.71602779,15.59988495,15.21807952,14.78158858,12.95095408,14.84748338,15.68945035,15.77481994,16.33587804,14.98183334,15.95224847,19.68056822,13.88948319,13.17196104,15.28247669,14.68757295,14.83609329,15.00090905,17.77708945,16.81887226,16.9352582,15.38785974,17.25653408,16.91250233,18.12577771,16.23952634,15.0486817,14.68759424,17.89347548,19.91356525,15.80967474,16.31183029,,12.34130548,15.67846123
A_C48,Group1,16.52028,10.96915949,12.47933327,13.37844037,16.27095606,16.22934551,16.49408354,14.79741654,18.27546856,15.91258294,18.01303862,17.23635605,17.60323656,16.66421852,16.60357922,16.40066011,17.9622511,14.97017558,15.2222418,12.60522975,16.06664408,19.65914183,17.69205439,16.2941961,15.03204131,13.87463852,19.97815788,12.32773735,13.08686063,19.40729771,16.77957824,11.65323159,14.62199061,18.74561777,16.67751838,15.22440513,15.77076676,14.00837032,16.39824566,17.71971049,16.48025873,16.37524486,14.90805792,16.28668826,,15.63367793,15.14872924,16.44072836,16.79391923,16.95266816,17.56094145,19.27916312,17.56885597,18.09890884,19.23343554,17.27009935,17.18526857,18.24869964,16.97293319,15.47355937,17.50871148,18.12600889,20.16362342,15.50167547,15.38883116,20.42025042,13.45291606,18.17533907
A_C01,Group1,13.88251248,12.36887044,13.9174173,12.10403036,15.35086442,15.29743636,15.98868924,12.35767291,16.55869668,13.69483877,17.43122096,13.49725235,17.52048341,15.57674035,14.77476286,16.94292693,15.93355885,13.99489063,14.41760031,11.51254913,14.62185696,16.01009452,17.28294201,16.98651121,13.79277432,11.99373913,17.50838387,11.10394639,12.29279678,17.65094936,16.49532685,8.923106702,11.81123181,16.96777639,13.95283157,15.48581434,14.29426272,12.44578778,14.51849684,15.97577265,15.82773632,16.23754167,13.76083238,15.64482271,18.50930972,12.9703567,13.66180381,14.13056808,14.08048024,15.9922312,13.9303789,18.78426887,15.71002242,18.11066242,13.82245237,16.76737906,15.78667933,17.58629682,14.13408663,15.3621028,13.69543049,18.29157633,17.0402649,15.56542657,15.53112667,18.9804586,12.25548398,14.02745143
A_C02,Group1,14.85265179,12.08948219,17.34158489,13.02375041,16.4243777,17.21209714,16.68983173,13.82215707,17.35064084,13.79025461,17.39914463,14.36423339,15.77884214,15.49095344,15.42305384,19.97515108,15.88982206,14.49437767,15.51931314,13.31021163,14.56956124,16.92955664,17.69864413,15.51906911,14.1782959,12.36931105,20.5204398,10.42366358,12.38744146,19.00562055,17.22242183,9.799148881,13.44838189,16.54842983,15.04822331,14.04638225,15.10307294,13.18191218,15.66044281,16.33562861,14.94428797,17.11208301,13.81011287,16.28657007,20.88532807,13.88681151,12.95832942,15.78472728,14.44836064,16.84433421,14.26316457,17.56136525,15.35394589,16.05829393,15.19060231,17.02418025,16.87749235,16.94911846,15.29810167,16.9065704,18.36682338,17.99855461,17.3467417,16.02866787,15.23589457,19.57728313,12.15617718,15.34103712
